size,pair_index,repetition,encryption_time,homomorphic_time,decryption_time,score,start_pos,end_pos,mem_avg_MB,mem_max_MB
4,1,1,0.00073,15.0,4.9e-06,2,,,513.1843575418994,614.0
4,1,2,0.00074,16.0,4.9e-06,2,,,519.0054644808744,616.25
